Name,Released year,Duration,Categories,Description,Metascores,Ratings
1. The Shawshank Redemption,1994,,R,"Over the course of several years, two convicts form a friendship, seeking consolation and, eventually, redemption through basic compassion.",82,9.3 (2.9M)
2. The Godfather,1972,,R,The aging patriarch of an organized crime dynasty transfers control of his clandestine empire to his reluctant son.,100,9.2 (2M)
3. The Dark Knight,2008,,PG-13,"When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman must accept one of the greatest psychological and physical tests of his ability to fight injustice.",84,9.0 (2.9M)
4. Schindler's List,1993,,R,"In German-occupied Poland during World War II, industrialist Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazis.",95,9.0 (1.5M)
5. The Lord of the Rings: The Return of the King,2003,,PG-13,Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.,94,9.0 (2M)
6. 12 Angry Men,1957,,Approved,The jury in a New York City murder trial is frustrated by a single member whose skeptical caution forces them to more carefully consider the evidence before jumping to a hasty verdict.,97,9.0 (868K)
7. The Godfather Part II,1974,,R,"The early life and career of Vito Corleone in 1920s New York City is portrayed, while his son, Michael, expands and tightens his grip on the family crime syndicate.",90,9.0 (1.4M)
8. The Lord of the Rings: The Fellowship of the Ring,2001,,PG-13,A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.,92,8.9 (2M)
9. Pulp Fiction,1994,,R,"The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption.",95,8.9 (2.2M)
10. 12th Fail,2023,,2h 27m,The real-life story of IPS Officer Manoj Kumar Sharma and IRS Officer Shraddha Joshi.,,8.9 (115K)
11. Inception,2010,,PG-13,"A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O., but his tragic past may doom the project and his team to disaster.",74,8.8 (2.6M)
12. Fight Club,1999,,R,An insomniac office worker and a devil-may-care soap maker form an underground fight club that evolves into much more.,67,8.8 (2.3M)
13. Forrest Gump,1994,,PG-13,"The history of the United States from the 1950s to the '70s unfolds from the perspective of an Alabama man with an IQ of 75, who yearns to be reunited with his childhood sweetheart.",82,8.8 (2.3M)
14. The Lord of the Rings: The Two Towers,2002,,PG-13,"While Frodo and Sam edge closer to Mordor with the help of the shifty Gollum, the divided fellowship makes a stand against Sauron's new ally, Saruman, and his hordes of Isengard.",87,8.8 (1.8M)
"15. The Good, the Bad and the Ugly",1966,,R,A bounty hunting scam joins two men in an uneasy alliance against a third in a race to find a fortune in gold buried in a remote cemetery.,90,8.8 (813K)
16. Interstellar,2014,,PG-13,"When Earth becomes uninhabitable in the future, a farmer and ex-NASA pilot, Joseph Cooper, is tasked to pilot a spacecraft, along with a team of researchers, to find a new planet for humans.",74,8.7 (2.1M)
17. Goodfellas,1990,,R,"The story of Henry Hill and his life in the mafia, covering his relationship with his wife Karen and his mob partners Jimmy Conway and Tommy DeVito.",92,8.7 (1.3M)
18. The Matrix,1999,,R,"When a beautiful stranger leads computer hacker Neo to a forbidding underworld, he discovers the shocking truth--the life he knows is the elaborate deception of an evil cyber-intelligence.",73,8.7 (2.1M)
19. One Flew Over the Cuckoo's Nest,1975,,R,"In the Fall of 1963, a Korean War veteran and criminal pleads insanity and is admitted to a mental institution, where he rallies up the scared patients against the tyrannical nurse.",84,8.7 (1.1M)
20. Star Wars: Episode V - The Empire Strikes Back,1980,,PG,"After the Rebel Alliance are overpowered by the Empire, Luke Skywalker begins his Jedi training with Yoda, while his friends are pursued across the galaxy by Darth Vader and bounty hunter Boba Fett.",82,8.7 (1.4M)
21. Jai Bhim,2021,,Approved,"When a tribal man is arrested for a case of alleged theft, his wife turns to a human-rights lawyer to help bring justice.",,8.7 (218K)
22. 777 Charlie,2022,,2h 44m,Dharma is stuck in a rut with his negative and lonely lifestyle and spends each day in the comfort of his loneliness. A pup named Charlie enters his life and gives him a new perspective towards it.,,8.7 (40K)
23. Soorarai Pottru,2020,,TV-MA,"Nedumaaran Rajangam ""Maara"" sets out to make the common man fly and in the process takes on the world's most capital intensive industry and several enemies who stand in his way.",,8.7 (124K)
24. Rocketry: The Nambi Effect,2022,,Not Rated,"The story of Indian Space Research Organization scientist Nambi Narayanan, who was framed for being a spy and arrested in 1994.",,8.7 (59K)
25. Dune: Part Two,2024,,PG-13,Paul Atreides unites with Chani and the Fremen while seeking revenge against the conspirators who destroyed his family.,79,8.6 (411K)
26. The Silence of the Lambs,1991,,R,"A young F.B.I. cadet must receive the help of an incarcerated and manipulative cannibal killer to help catch another serial killer, a madman who skins his victims.",86,8.6 (1.6M)
27. Spider-Man: Across the Spider-Verse,2023,,PG,"Miles Morales catapults across the multiverse, where he encounters a team of Spider-People charged with protecting its very existence. When the heroes clash on how to handle a new threat, Miles must redefine what it means to be a hero.",86,8.6 (374K)
28. Star Wars: Episode IV - A New Hope,1977,,PG,"Luke Skywalker joins forces with a Jedi Knight, a cocky pilot, a Wookiee and two droids to save the galaxy from the Empire's world-destroying battle station, while also attempting to rescue Princess Leia from the mysterious Darth Vader.",90,8.6 (1.5M)
29. Se7en,1995,,R,"Two detectives, a rookie and a veteran, hunt a serial killer who uses the seven deadly sins as his motives.",65,8.6 (1.8M)
30. Saving Private Ryan,1998,,R,"Following the Normandy Landings, a group of U.S. soldiers go behind enemy lines to retrieve a paratrooper whose brothers have been killed in action.",91,8.6 (1.5M)
31. The Green Mile,1999,,R,"A tale set on death row, where gentle giant John Coffey possesses the mysterious power to heal people's ailments. When the lead guard, Paul Edgecombe, recognizes John's gift, he tries to help stave off the condemned man's execution.",61,8.6 (1.4M)
32. Terminator 2: Judgment Day,1991,,R,"A cyborg, identical to the one who failed to kill Sarah Connor, must now protect her ten year old son John from an even more advanced and powerful cyborg.",75,8.6 (1.2M)
33. Spirited Away,2001,,PG,"During her family's move to the suburbs, a sullen 10-year-old girl wanders into a world ruled by gods, witches and spirits, and where humans are changed into beasts.",96,8.6 (853K)
34. City of God,2002,,R,"In the slums of Rio, two kids' paths diverge as one struggles to become a photographer and the other a kingpin.",79,8.6 (803K)
35. Life Is Beautiful,1997,,PG-13,"When an open-minded Jewish waiter and his son become victims of the Holocaust, he uses a perfect mixture of will, humor and imagination to protect his son from the dangers around their camp.",58,8.6 (745K)
36. Seven Samurai,1954,,Not Rated,"Farmers from a village exploited by bandits hire a veteran samurai for protection, who gathers six other samurai to join him.",98,8.6 (368K)
37. It's a Wonderful Life,1946,,PG,An angel is sent from Heaven to help a desperately frustrated businessman by showing him what life would have been like if he had never existed.,89,8.6 (500K)
38. Harakiri,1962,,Not Rated,"When a ronin requesting seppuku at a feudal lord's palace is told of the brutal suicide of another ronin who previously visited, he reveals how their pasts are intertwined - and in doing so challenges the clan's integrity.",85,8.6 (69K)
39. The Departed,2006,,R,An undercover cop and a mole in the police attempt to identify each other while infiltrating an Irish gang in South Boston.,85,8.5 (1.4M)
40. Gladiator,2000,,R,A former Roman General sets out to exact vengeance against the corrupt emperor who murdered his family and sent him into slavery.,67,8.5 (1.6M)
41. Alien,1979,,R,The crew of a commercial spacecraft encounters a deadly lifeform after investigating a mysterious transmission of unknown origin.,89,8.5 (954K)
42. Parasite,2019,,R,Greed and class discrimination threaten the newly-formed symbiotic relationship between the wealthy Park family and the destitute Kim clan.,97,8.5 (965K)
43. Whiplash,2014,,R,A promising young drummer enrolls at a cut-throat music conservatory where his dreams of greatness are mentored by an instructor who will stop at nothing to realize a student's potential.,89,8.5 (994K)
44. Léon: The Professional,1994,,R,"12-year-old Mathilda is reluctantly taken in by Léon, a professional assassin, after her family is murdered. An unusual relationship forms as she becomes his protégée and learns the assassin's trade.",64,8.5 (1.2M)
45. The Prestige,2006,,PG-13,"After a tragic accident, two stage magicians in 1890s London engage in a battle to create the ultimate illusion while sacrificing everything they have to outwit each other.",66,8.5 (1.4M)
46. Back to the Future,1985,,PG,"Marty McFly, a 17-year-old high school student, is accidentally sent 30 years into the past in a time-traveling DeLorean invented by his close friend, the maverick scientist Doc Brown.",87,8.5 (1.3M)
47. Django Unchained,2012,,R,"With the help of a German bounty-hunter, a freed slave sets out to rescue his wife from a brutal plantation owner in Mississippi.",81,8.5 (1.7M)
48. The Usual Suspects,1995,,R,The sole survivor of a pier shoot-out tells the story of how a notorious criminal influenced the events that began with five criminals meeting in a seemingly random police lineup.,76,8.5 (1.1M)
49. Once Upon a Time in the West,1968,,PG-13,A mysterious stranger with a harmonica joins forces with a notorious desperado to protect a beautiful widow from a ruthless assassin working for the railroad.,82,8.5 (350K)
50. American History X,1998,,R,"Living a life marked by violence, neo-Nazi Derek finally goes to prison after killing two black youths. Upon his release, Derek vows to change; he hopes to prevent his brother, Danny, who idolizes Derek, from following in his footsteps.",62,8.5 (1.2M)
51. The Lion King,1994,,G,"Lion prince Simba and his father are targeted by his bitter uncle, who wants to ascend the throne himself.",88,8.5 (1.1M)
52. Psycho,1960,,R,"A Phoenix secretary embezzles $40,000 from her employer's client, goes on the run and checks into a remote motel run by a young man under the domination of his mother.",97,8.5 (720K)
53. The Pianist,2002,,R,"During WWII, acclaimed Polish musician Wladyslaw faces various struggles as he loses contact with his family. As the situation worsens, he hides in the ruins of Warsaw in order to survive.",85,8.5 (916K)
54. Casablanca,1942,,PG,A cynical expatriate American cafe owner struggles to decide whether or not to help his former lover and her fugitive husband escape the Nazis in French Morocco.,100,8.5 (607K)
55. The Intouchables,2011,,R,"After he becomes a quadriplegic from a paragliding accident, an aristocrat hires a young man from the projects to be his caregiver.",57,8.5 (932K)
56. Rear Window,1954,,PG,"A wheelchair-bound photographer spies on his neighbors from his Greenwich Village courtyard apartment window and, despite the skepticism of his fashion-model girlfriend, becomes convinced one of them has committed murder.",100,8.5 (523K)
57. Grave of the Fireflies,1988,,Not Rated,A young boy and his little sister struggle to survive in Japan during World War II.,94,8.5 (312K)
58. Cinema Paradiso,1988,,PG,A filmmaker recalls his childhood when falling in love with the pictures at the cinema of his home village and forms a deep friendship with the cinema's projectionist.,80,8.5 (284K)
59. Modern Times,1936,,G,The Tramp struggles to live in modern industrial society with the help of a young homeless woman.,96,8.5 (260K)
60. Sita Ramam,2022,,2h 43m,"An orphan soldier, Lieutenant Ram's life changes, after he gets a letter from a girl named Sita. He meets her and love blossoms between them. When he comes back to his camp in Kashmir,After he gets caught in jail, he sends a letter to Sita which won't reach her.",,8.5 (69K)
61. City Lights,1931,,G,"With the aid of a wealthy erratic tippler, a dewy-eyed tramp who has fallen in love with a sightless flower girl accumulates money to be able to help her medically.",99,8.5 (196K)
62. 96,2018,,Not Rated,Two high school sweethearts meet at a reunion after 22 years and reminisce about their past.,,8.5 (37K)
63. Apocalypse Now,1979,,R,A U.S. Army officer serving in Vietnam is tasked with assassinating a renegade Special Forces Colonel who sees himself as a god.,94,8.4 (712K)
64. Inglourious Basterds,2009,,R,"In Nazi-occupied France during World War II, a plan to assassinate Nazi leaders by a group of Jewish U.S. soldiers coincides with a theatre owner's vengeful plans for the same.",69,8.4 (1.6M)
65. Avengers: Endgame,2019,,PG-13,"After the devastating events of Avengers: Infinity War (2018), the universe is in ruins. With the help of remaining allies, the Avengers assemble once more in order to reverse Thanos' actions and restore balance to the universe.",78,8.4 (1.3M)
66. Aliens,1986,,R,"Decades after surviving the Nostromo incident, Ellen Ripley is sent out to re-establish contact with a terraforming colony but finds herself battling the Alien Queen and her offspring.",84,8.4 (765K)
67. Joker,2019,,R,"During the 1980s, a failed stand-up comedian is driven insane and turns to a life of crime and chaos in Gotham City while becoming an infamous psychopathic crime figure.",59,8.4 (1.5M)
68. Amadeus,1984,,PG,"The life, success and troubles of Wolfgang Amadeus Mozart, as told by Antonio Salieri, the contemporaneous composer who was deeply jealous of Mozart's talent and claimed to have murdered him.",87,8.4 (429K)
69. The Dark Knight Rises,2012,,PG-13,"Eight years after the Joker's reign of chaos, Batman is coerced out of exile with the assistance of the mysterious Selina Kyle in order to defend Gotham City from the vicious guerrilla terrorist Bane.",78,8.4 (1.8M)
70. The Shining,1980,,R,"A family heads to an isolated hotel for the winter where a sinister presence influences the father into violence, while his psychic son sees horrific forebodings from both past and future.",68,8.4 (1.1M)
71. Avengers: Infinity War,2018,,PG-13,The Avengers and their allies must be willing to sacrifice all in an attempt to defeat the powerful Thanos before his blitz of devastation and ruin puts an end to the universe.,68,8.4 (1.2M)
72. Memento,2000,,R,A man with short-term memory loss attempts to track down his wife's murderer.,83,8.4 (1.3M)
73. Come and See,1985,,Not Rated,"After finding an old rifle, a young boy joins the Soviet resistance movement against ruthless German forces and experiences the horrors of World War II.",,8.4 (98K)
74. Raiders of the Lost Ark,1981,,PG,"In 1936, archaeologist and adventurer Indiana Jones is hired by the U.S. government to find the Ark of the Covenant before the Nazis can obtain its awesome powers.",86,8.4 (1M)
75. Your Name.,2016,,1h 46m,"Two teenagers share a profound, magical connection upon discovering they are swapping bodies. Things manage to become even more complicated when the boy and girl decide to meet in person.",81,8.4 (322K)
76. Spider-Man: Into the Spider-Verse,2018,,PG,Teen Miles Morales becomes the Spider-Man of his universe and must join with five spider-powered individuals from other dimensions to stop a threat for all realities.,87,8.4 (675K)
77. Coco,2017,,PG,"Aspiring musician Miguel, confronted with his family's ancestral ban on music, enters the Land of the Dead to find his great-great-grandfather, a legendary singer.",81,8.4 (593K)
78. 3 Idiots,2009,,PG-13,"Two friends are searching for their long lost companion. They revisit their college days and recall the memories of their friend who inspired them to think differently, even as the rest of the world called them ""idiots"".",67,8.4 (436K)
79. WALL·E,2008,,G,"In the distant future, a small waste-collecting robot inadvertently embarks on a space journey that will ultimately decide the fate of mankind.",95,8.4 (1.2M)
80. Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,,PG,"An unhinged American general orders a bombing attack on the Soviet Union, triggering a path to nuclear holocaust that a war room full of politicians and generals frantically tries to stop.",97,8.4 (519K)
81. The Lives of Others,2006,,R,"In 1984 East Berlin, an agent of the secret police conducting surveillance on a writer and his lover finds himself becoming increasingly absorbed by their lives.",89,8.4 (411K)
82. Capernaum,2018,,R,"While serving a five-year sentence for a violent crime, a 12-year-old boy sues his parents for neglect.",75,8.4 (106K)
83. Das Boot,1981,,2h 29m,A German U-boat stalks the frigid waters of the North Atlantic as its young crew experience the sheer terror and claustrophobic life of a submariner in World War II.,85,8.4 (265K)
84. Sunset Boulevard,1950,,Approved,A screenwriter develops a dangerous relationship with a faded film star determined to make a triumphant return.,94,8.4 (237K)
85. Paths of Glory,1957,,Approved,"After a failed attack on a German position, a general orders three soldiers, chosen at random, court-martialed for cowardice and their commanding officer must defend them.",90,8.4 (213K)
86. Witness for the Prosecution,1957,,Approved,A veteran British barrister must defend his client in a murder trial that has surprise after surprise.,76,8.4 (138K)
87. The Great Dictator,1940,,G,Dictator Adenoid Hynkel tries to expand his empire while a poor Jewish barber tries to avoid persecution from Hynkel's regime.,,8.4 (238K)
88. High and Low,1963,,Not Rated,An executive of a Yokohama shoe company becomes a victim of extortion when his chauffeur's son is kidnapped by mistake and held for ransom.,90,8.4 (54K)
89. Sardar Udham,2021,,TV-MA,"A biopic detailing the 2 decades that Punjabi Sikh revolutionary, Udham Singh, spent planning the assassination of the man responsible for the Jallianwala Bagh massacre.",,8.4 (47K)
90. Kaithi,2019,,Not Rated,"Dilli, an ex-convict, endeavours to meet his daughter for the first time after leaving prison. However, his attempts are interrupted due to a drug raid planned by Inspector Bejoy.",,8.4 (43K)
91. Asuran,2019,,Not Rated,"The teenage son of a farmer from an underprivileged caste kills a rich, upper caste landlord. How the pacifist farmer saves his hot-blooded son is the rest of the story.",,8.4 (34K)
92. Drishyam 2,2021,,2h 32m,A gripping tale of an investigation and a family which is threatened by it. Will Georgekutty be able to protect his family this time?,,8.4 (41K)
93. Oppenheimer,2023,,R,The story of American scientist J. Robert Oppenheimer and his role in the development of the atomic bomb.,90,8.3 (742K)
94. Incendies,2010,,R,Twins journey to the Middle East to discover their family history and fulfill their mother's last wishes.,80,8.3 (202K)
95. Good Will Hunting,1997,,R,"Will Hunting, a janitor at M.I.T., has a gift for mathematics, but needs help from a psychologist to find direction in his life.",71,8.3 (1.1M)
96. American Beauty,1999,,R,A sexually frustrated suburban father has a mid-life crisis after becoming infatuated with his daughter's best friend.,84,8.3 (1.2M)
97. Requiem for a Dream,2000,,NC-17,The drug-induced utopias of four Coney Island people are shattered when their addictions run deep..,71,8.3 (901K)
98. Heat,1995,,R,A group of high-end professional thieves start to feel the heat from the LAPD when they unknowingly leave a verbal clue at their latest heist.,76,8.3 (721K)
99. Oldboy,2003,,R,"After being kidnapped and imprisoned for fifteen years, Oh Dae-Su is released, only to find that he must track down his captor in five days.",78,8.3 (638K)
100. Braveheart,1995,,R,Scottish warrior William Wallace leads his countrymen in a rebellion to free his homeland from the tyranny of King Edward I of England.,68,8.3 (1.1M)
